,Frame number,Frame times(sec),Frame times(msec),Average jitter,Minimum 
,2,0.031987,31.987,33.3490333333333,30.999
,3,0.032,32,33.349033333,
,4,0.036025,36.025,33.349033333,
,5,0.032006,32.006,33.349033333,
,6,0.031982,31.982,33.349033333,
,7,0.036023,36.023,33.349033333,
,8,0.031996,31.996,33.349033333,
,9,0.031999,31.999,33.349033333,
,10,0.036057,36.057,33.349033333,
,11,0.031971,31.971,33.349033333,
,12,0.03199,31.99,33.349033333,
,13,0.036019,36.019,33.349033333,
,14,0.032015,32.015,33.349033333,
,15,0.031977,31.977,33.349033333,
,16,0.036023,36.023,33.349033333,
,17,0.031993,31.993,33.349033333,
,18,0.032002,32.002,33.349033333,
,19,0.036034,36.034,33.349033333,
,20,0.031989,31.989,33.349033333,
,21,0.042281,42.281,33.349033333,
,22,0.035769,35.769,33.349033333,
,23,0.03216,32.16,33.349033333,
,24,0.032143,32.143,33.349033333,
,25,0.035761,35.761,33.349033333,
,26,0.03184,31.84,33.349033333,
,27,0.032521,32.521,33.349033333,
,28,0.035558,35.558,33.349033333,
,29,0.032275,32.275,33.349033333,
,30,0.032169,32.169,33.349033333,
,31,0.035551,35.551,33.349033333,
,32,0.032308,32.308,33.349033333,
,33,0.031739,31.739,33.349033333,
,34,0.036312,36.312,33.349033333,
,35,0.031605,31.605,33.349033333,
,36,0.032093,32.093,33.349033333,
,37,0.035988,35.988,33.349033333,
,38,0.031932,31.932,33.349033333,
,39,0.032058,32.058,33.349033333,
,40,0.036189,36.189,33.349033333,
,41,0.031837,31.837,33.349033333,
,42,0.031992,31.992,33.349033333,
,43,0.035996,35.996,33.349033333,
,44,0.031965,31.965,33.349033333,
,45,0.032505,32.505,33.349033333,
,46,0.035944,35.944,33.349033333,
,47,0.031548,31.548,33.349033333,
,48,0.032075,32.075,33.349033333,
,49,0.036365,36.365,33.349033333,
,50,0.031618,31.618,33.349033333,
,51,0.032032,32.032,33.349033333,
,52,0.036039,36.039,33.349033333,
,53,0.031968,31.968,33.349033333,
,54,0.032042,32.042,33.349033333,
,55,0.036247,36.247,33.349033333,
,56,0.03172,31.72,33.349033333,
,57,0.032092,32.092,33.349033333,
,58,0.035917,35.917,33.349033333,
,59,0.031987,31.987,33.349033333,
,60,0.031988,31.988,33.349033333,
,61,0.036047,36.047,33.349033333,
,62,0.032006,32.006,33.349033333,
,63,0.032803,32.803,33.349033333,
,64,0.035274,35.274,33.349033333,
,65,0.032093,32.093,33.349033333,
,66,0.031867,31.867,33.349033333,
,67,0.035988,35.988,33.349033333,
,68,0.03231,32.31,33.349033333,
,69,0.0317,31.7,33.349033333,
,70,0.036032,36.032,33.349033333,
,71,0.031921,31.921,33.349033333,
,72,0.032086,32.086,33.349033333,
,73,0.036,36,33.349033333,
,74,0.032271,32.271,33.349033333,
,75,0.031954,31.954,33.349033333,
,76,0.036212,36.212,33.349033333,
,77,0.031524,31.524,33.349033333,
,78,0.032871,32.871,33.349033333,
,79,0.035254,35.254,33.349033333,
,80,0.031905,31.905,33.349033333,
,81,0.032061,32.061,33.349033333,
,82,0.036001,36.001,33.349033333,
,83,0.031938,31.938,33.349033333,
,84,0.03242,32.42,33.349033333,
,85,0.035991,35.991,33.349033333,
,86,0.031599,31.599,33.349033333,
,87,0.032061,32.061,33.349033333,
,88,0.03622,36.22,33.349033333,
,89,0.031729,31.729,33.349033333,
,90,0.031993,31.993,33.349033333,
,91,0.036093,36.093,33.349033333,
,92,0.03196,31.96,33.349033333,
,93,0.032091,32.091,33.349033333,
,94,0.035984,35.984,33.349033333,
,95,0.031912,31.912,33.349033333,
,96,0.032252,32.252,33.349033333,
,97,0.035807,35.807,33.349033333,
,98,0.031959,31.959,33.349033333,
,99,0.0321,32.1,33.349033333,
,100,0.035964,35.964,33.349033333,
,101,0.031948,31.948,33.349033333,
,102,0.032184,32.184,33.349033333,
,103,0.035913,35.913,33.349033333,
,104,0.03194,31.94,33.349033333,
,105,0.032088,32.088,33.349033333,
,106,0.035966,35.966,33.349033333,
,107,0.03194,31.94,33.349033333,
,108,0.032086,32.086,33.349033333,
,109,0.035914,35.914,33.349033333,
,110,0.032035,32.035,33.349033333,
,111,0.032004,32.004,33.349033333,
,112,0.036532,36.532,33.349033333,
,113,0.031457,31.457,33.349033333,
,114,0.032156,32.156,33.349033333,
,115,0.036218,36.218,33.349033333,
,116,0.031658,31.658,33.349033333,
,117,0.032104,32.104,33.349033333,
,118,0.036344,36.344,33.349033333,
,119,0.031551,31.551,33.349033333,
,120,0.032049,32.049,33.349033333,
,121,0.036005,36.005,33.349033333,
,122,0.032015,32.015,33.349033333,
,123,0.032029,32.029,33.349033333,
,124,0.036367,36.367,33.349033333,
,125,0.03159,31.59,33.349033333,
,126,0.032104,32.104,33.349033333,
,127,0.036434,36.434,33.349033333,
,128,0.031489,31.489,33.349033333,
,129,0.032017,32.017,33.349033333,
,130,0.036016,36.016,33.349033333,
,131,0.03192,31.92,33.349033333,
,132,0.032123,32.123,33.349033333,
,133,0.036845,36.845,33.349033333,
,134,0.031459,31.459,33.349033333,
,135,0.031737,31.737,33.349033333,
,136,0.035987,35.987,33.349033333,
,137,0.031884,31.884,33.349033333,
,138,0.032218,32.218,33.349033333,
,139,0.035916,35.916,33.349033333,
,140,0.03188,31.88,33.349033333,
,141,0.032033,32.033,33.349033333,
,142,0.036084,36.084,33.349033333,
,143,0.031987,31.987,33.349033333,
,144,0.031921,31.921,33.349033333,
,145,0.036067,36.067,33.349033333,
,146,0.032008,32.008,33.349033333,
,147,0.031945,31.945,33.349033333,
,148,0.036386,36.386,33.349033333,
,149,0.031625,31.625,33.349033333,
,150,0.032004,32.004,33.349033333,
,151,0.036045,36.045,33.349033333,
,152,0.032584,32.584,33.349033333,
,153,0.032212,32.212,33.349033333,
,154,0.035247,35.247,33.349033333,
,155,0.032293,32.293,33.349033333,
,156,0.031666,31.666,33.349033333,
,157,0.036054,36.054,33.349033333,
,158,0.032004,32.004,33.349033333,
,159,0.031956,31.956,33.349033333,
,160,0.032188,32.188,33.349033333,
,161,0.035809,35.809,33.349033333,
,162,0.032117,32.117,33.349033333,
,163,0.032292,32.292,33.349033333,
,164,0.035638,35.638,33.349033333,
,165,0.031973,31.973,33.349033333,
,166,0.032171,32.171,33.349033333,
,167,0.035947,35.947,33.349033333,
,168,0.032386,32.386,33.349033333,
,169,0.03159,31.59,33.349033333,
,170,0.036294,36.294,33.349033333,
,171,0.031855,31.855,33.349033333,
,172,0.032013,32.013,33.349033333,
,173,0.036228,36.228,33.349033333,
,174,0.031572,31.572,33.349033333,
,175,0.032044,32.044,33.349033333,
,176,0.035984,35.984,33.349033333,
,177,0.03227,32.27,33.349033333,
,178,0.0318,31.8,33.349033333,
,179,0.035956,35.956,33.349033333,
,180,0.032376,32.376,33.349033333,
,181,0.031627,31.627,33.349033333,
,182,0.036471,36.471,33.349033333,
,183,0.031548,31.548,33.349033333,
,184,0.032007,32.007,33.349033333,
,185,0.035994,35.994,33.349033333,
,186,0.032058,32.058,33.349033333,
,187,0.031964,31.964,33.349033333,
,188,0.036071,36.071,33.349033333,
,189,0.031928,31.928,33.349033333,
,190,0.032002,32.002,33.349033333,
,191,0.036043,36.043,33.349033333,
,192,0.031969,31.969,33.349033333,
,193,0.032053,32.053,33.349033333,
,194,0.036405,36.405,33.349033333,
,195,0.031553,31.553,33.349033333,
,196,0.032012,32.012,33.349033333,
,197,0.036001,36.001,33.349033333,
,198,0.032116,32.116,33.349033333,
,199,0.032013,32.013,33.349033333,
,200,0.035939,35.939,33.349033333,
,201,0.031951,31.951,33.349033333,
,202,0.032013,32.013,33.349033333,
,203,0.035956,35.956,33.349033333,
,204,0.032121,32.121,33.349033333,
,205,0.032218,32.218,33.349033333,
,206,0.035721,35.721,33.349033333,
